Throttle,Reverse,at_TL,frame,Manual,Hand brake,Steer,Direction,Gear,speed_limit,TL_state,Brake,fps,Speed
1.0,False,0,1130,False,False,-0.00033874184009619057,RoadOption.LEFT,0,0.3,Green,0.0,37.878787994384766,0.1937
1.0,False,0,1139,False,False,-0.0021534315310418606,RoadOption.LEFT,0,0.3,Green,0.0,42.194091796875,0.196
1.0,False,0,1147,False,False,0.0037638822104781866,RoadOption.LEFT,2,0.3,Green,0.0,42.37288284301758,0.2295
1.0,False,0,1155,False,False,-0.14961190521717072,RoadOption.LEFT,2,0.3,Green,0.0,42.553192138671875,0.2704
1.0,False,0,1162,False,False,-0.025185175240039825,RoadOption.LEFT,2,0.3,Green,0.0,42.553192138671875,0.2934
0.0,False,0,1170,False,False,-0.07707538455724716,RoadOption.LEFT,2,0.3,Green,0.0,35.71428680419922,0.3283
0.0,False,0,1178,False,False,-0.2551465332508087,RoadOption.LEFT,2,0.3,Green,0.0,42.194091796875,0.3228
0.0,False,0,1186,False,False,-0.18444402515888214,RoadOption.LEFT,2,0.3,Green,0.0,42.194091796875,0.3094
0.5440212488174438,False,0,1193,False,False,-0.36641013622283936,RoadOption.LEFT,2,0.3,Green,0.0,34.722225189208984,0.2804
1.0,False,0,1200,False,False,-0.28020086884498596,RoadOption.LEFT,0,0.3,Green,0.0,40.48583221435547,0.2668
1.0,False,0,1207,False,False,-0.3664509952068329,RoadOption.LEFT,0,0.3,Green,0.0,36.10108184814453,0.2581
1.0,False,0,1214,False,False,-0.2900533676147461,RoadOption.LEFT,0,0.3,Green,0.0,36.10108184814453,0.2548
1.0,False,0,1221,False,False,-1.0,RoadOption.LEFT,1,0.3,Green,0.0,33.44481658935547,0.2321
1.0,False,0,1228,False,False,-0.3113713562488556,RoadOption.LEFT,1,0.3,Green,0.0,34.24657440185547,0.2246
1.0,False,0,1235,False,False,-0.13653433322906494,RoadOption.LEFT,1,0.3,Green,0.0,34.24657440185547,0.2372
1.0,False,0,1242,False,False,-0.38873961567878723,RoadOption.LANEFOLLOW,1,0.3,Green,0.0,30.86419677734375,0.253
1.0,False,0,1249,False,False,-0.16363903880119324,RoadOption.LANEFOLLOW,1,0.3,Green,0.0,41.841007232666016,0.2749
1.0,False,0,1257,False,False,-0.09733332693576813,RoadOption.LANEFOLLOW,1,0.3,Green,0.0,35.971221923828125,0.2968
0.0,False,0,1264,False,False,-0.1780511885881424,RoadOption.LANEFOLLOW,1,0.3,Green,0.0,35.971221923828125,0.3132
0.0,False,0,1272,False,False,0.018326831981539726,RoadOption.LANEFOLLOW,1,0.3,Green,0.0,35.84229278564453,0.3079
0.3409360647201538,False,0,1279,False,False,-0.07925105839967728,RoadOption.LANEFOLLOW,1,0.3,Green,0.0,36.10108184814453,0.2833
1.0,False,0,1286,False,False,-0.023804519325494766,RoadOption.LANEFOLLOW,1,0.3,Green,0.0,37.31343078613281,0.2631
1.0,False,0,1293,False,False,0.01157249603420496,RoadOption.LANEFOLLOW,1,0.3,Green,0.0,37.31343078613281,0.2656
1.0,False,0,1301,False,False,0.022229358553886414,RoadOption.LANEFOLLOW,0,0.3,Green,0.0,35.71428680419922,0.2646
1.0,False,0,1308,False,False,0.02038334123790264,RoadOption.LANEFOLLOW,0,0.3,Green,0.0,36.3636360168457,0.2623
1.0,False,0,1316,False,False,-0.016859324648976326,RoadOption.LANEFOLLOW,2,0.3,Green,0.0,36.3636360168457,0.2695
1.0,False,0,1323,False,False,0.013787483796477318,RoadOption.LANEFOLLOW,2,0.3,Green,0.0,36.630035400390625,0.298
0.0,False,0,1330,False,False,0.01369647029787302,RoadOption.LANEFOLLOW,2,0.3,Green,0.0,41.841007232666016,0.3213
0.0,False,0,1338,False,False,0.03185079246759415,RoadOption.LANEFOLLOW,2,0.3,Green,0.0,36.10108184814453,0.3197
